time,reason,drive_state,motion_enabled,depth_emergency,avoidance_offset,avoidance_offset_filtered,lane_offset,lane_offset_filtered,lane_valid,closest_idx,current_mean_curvature,current_max_curvature,target_v,prev_v,prev_delta
1781736704.426,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736704.505,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736704.587,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736704.669,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736704.746,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736704.826,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736704.906,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736704.987,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736705.067,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736705.146,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736705.226,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736705.305,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736705.392,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736705.466,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736705.546,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736705.627,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736705.706,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736705.786,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736705.866,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736705.949,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
