t,tf_t,x,y,theta,yaw_deg,reason
1781809846.562404,1781809846.517130,-2.357778,3.407951,-2.754871,-157.842,distance
1781809846.812433,1781809846.767445,-2.380274,3.398782,-2.753797,-157.781,distance
1781809847.062373,1781809847.017365,-2.402079,3.389686,-2.753262,-157.750,distance
1781809847.312456,1781809847.267225,-2.422755,3.380747,-2.754983,-157.849,distance
1781809847.612373,1781809847.567511,-2.444000,3.372074,-2.752933,-157.731,distance
1781809847.912361,1781809847.867185,-2.467623,3.365658,-2.753372,-157.757,distance
1781809848.162335,1781809848.117372,-2.488248,3.357206,-2.751650,-157.658,distance
1781809848.412434,1781809848.367375,-2.509348,3.348515,-2.749763,-157.550,distance
1781809848.712360,1781809848.667274,-2.531039,3.341454,-2.761401,-158.217,distance
1781809849.212443,1781809849.167266,-2.536197,3.339393,-2.760747,-158.179,time
1781809849.762654,1781809849.717072,-2.536197,3.339393,-2.760490,-158.164,time
1781809850.312377,1781809850.267039,-2.536197,3.339393,-2.760312,-158.154,time
1781809850.812474,1781809850.767251,-2.536197,3.339393,-2.760082,-158.141,time
1781809851.362375,1781809851.317369,-2.536197,3.339393,-2.759836,-158.127,time
1781809851.862381,1781809851.817831,-2.536197,3.339393,-2.759638,-158.116,time
1781809852.362562,1781809852.317707,-2.536197,3.339393,-2.759462,-158.105,time
1781809852.912497,1781809852.867316,-2.536197,3.339393,-2.759296,-158.096,time
1781809853.462516,1781809853.417214,-2.536197,3.339393,-2.759073,-158.083,time
1781809853.962657,1781809853.917257,-2.536197,3.339393,-2.758913,-158.074,time
1781809854.512391,1781809854.467065,-2.536197,3.339393,-2.758685,-158.061,time
1781809855.012611,1781809854.967240,-2.536197,3.339393,-2.758427,-158.046,time
1781809855.562395,1781809855.517090,-2.536197,3.339393,-2.758145,-158.030,time
1781809856.112384,1781809856.067355,-2.536197,3.339393,-2.757974,-158.020,time
1781809856.662421,1781809856.617205,-2.536197,3.339393,-2.757649,-158.002,time
1781809857.212392,1781809857.167096,-2.536197,3.339393,-2.757492,-157.993,time
1781809857.714049,1781809857.667097,-2.536197,3.339393,-2.757308,-157.982,time
1781809858.262361,1781809858.218482,-2.536921,3.339100,-2.756964,-157.962,time
1781809858.662359,1781809858.617092,-2.558199,3.330329,-2.738683,-156.915,distance
1781809858.962378,1781809858.918070,-2.580715,3.322752,-2.714743,-155.543,distance
1781809859.212385,1781809859.167262,-2.602018,3.312820,-2.691478,-154.210,distance
1781809859.463491,1781809859.417098,-2.621416,3.306223,-2.674507,-153.238,distance
1781809859.712425,1781809859.667487,-2.640449,3.296403,-2.651280,-151.907,distance
1781809859.962513,1781809859.917108,-2.660917,3.285224,-2.627333,-150.535,distance
1781809860.312368,1781809860.267161,-2.679527,3.277258,-2.604686,-149.238,distance
1781809860.612432,1781809860.567207,-2.700022,3.264781,-2.580165,-147.833,distance
1781809860.862503,1781809860.817119,-2.719071,3.257793,-2.566301,-147.038,distance
1781809861.112349,1781809861.067079,-2.738416,3.244979,-2.541829,-145.636,distance
1781809861.412383,1781809861.367126,-2.754049,3.231552,-2.515795,-144.144,distance
1781809861.662360,1781809861.617325,-2.770377,3.219585,-2.498656,-143.162,distance
1781809861.912371,1781809861.867049,-2.786754,3.207724,-2.477938,-141.975,distance
1781809862.212364,1781809862.167058,-2.804324,3.195506,-2.452964,-140.545,distance
1781809862.462352,1781809862.417126,-2.820457,3.182000,-2.432050,-139.346,distance
1781809862.762364,1781809862.717479,-2.836999,3.165892,-2.411368,-138.161,distance
1781809863.012342,1781809862.967198,-2.853941,3.150452,-2.388716,-136.863,distance
1781809863.212366,1781809863.167098,-2.875113,3.139107,-2.375550,-136.109,distance
1781809863.512345,1781809863.467410,-2.891802,3.122717,-2.350360,-134.666,distance
1781809863.812409,1781809863.767394,-2.904142,3.103446,-2.309562,-132.328,distance
1781809864.062401,1781809864.017287,-2.918214,3.087626,-2.278535,-130.550,distance
1781809864.312339,1781809864.274798,-2.930650,3.070998,-2.248907,-128.853,distance
1781809864.612317,1781809864.567307,-2.944072,3.053922,-2.220281,-127.213,distance
1781809864.962360,1781809864.917387,-2.955629,3.035275,-2.179684,-124.887,distance
1781809865.262353,1781809865.217223,-2.972085,3.021124,-2.149471,-123.156,distance
1781809865.462399,1781809865.417107,-2.983468,3.003201,-2.115805,-121.227,distance
1781809865.812351,1781809865.767364,-2.995481,2.987034,-2.083609,-119.382,distance
1781809866.162354,1781809866.117106,-3.004200,2.968525,-2.052156,-117.580,distance
1781809866.412475,1781809866.367170,-3.014602,2.947948,-2.017409,-115.589,distance
1781809866.612411,1781809866.567766,-3.026145,2.928103,-1.984069,-113.679,distance
1781809866.862351,1781809866.817269,-3.033195,2.905357,-1.958875,-112.235,distance
1781809867.162372,1781809867.117308,-3.040182,2.885699,-1.937170,-110.992,distance
1781809867.462328,1781809867.417273,-3.049726,2.865794,-1.915134,-109.729,distance
1781809867.712348,1781809867.667373,-3.059123,2.847803,-1.895785,-108.620,distance
1781809867.912331,1781809867.867061,-3.066020,2.826677,-1.869905,-107.138,distance
1781809868.112628,1781809868.067177,-3.077025,2.803894,-1.858964,-106.511,distance
1781809868.412377,1781809868.367128,-3.083554,2.781017,-1.834420,-105.104,distance
1781809868.662508,1781809868.617260,-3.086658,2.760805,-1.808810,-103.637,distance
1781809868.912333,1781809868.867145,-3.091649,2.739306,-1.783408,-102.182,distance
1781809869.162401,1781809869.117298,-3.090159,2.719101,-1.758878,-100.776,distance
1781809869.462397,1781809869.417083,-3.092117,2.697934,-1.736201,-99.477,distance
1781809869.712862,1781809869.667714,-3.095290,2.677857,-1.713780,-98.192,distance
1781809869.962716,1781809869.917223,-3.091705,2.656354,-1.682953,-96.426,distance
1781809870.212626,1781809870.167273,-3.093918,2.634758,-1.657989,-94.996,distance
1781809870.412720,1781809870.367249,-3.098279,2.612218,-1.636784,-93.781,distance
1781809870.712361,1781809870.667274,-3.099562,2.589253,-1.611697,-92.343,distance
1781809870.962384,1781809870.917534,-3.098830,2.567506,-1.592169,-91.225,distance
1781809871.212389,1781809871.167250,-3.099080,2.543948,-1.565290,-89.684,distance
1781809871.512499,1781809871.467246,-3.104172,2.523343,-1.547195,-88.648,distance
1781809871.813009,1781809871.767234,-3.103386,2.499930,-1.522696,-87.244,distance
1781809872.062341,1781809872.017426,-3.098821,2.474238,-1.488586,-85.290,distance
1781809872.312444,1781809872.267186,-3.096505,2.449610,-1.459376,-83.616,distance
1781809872.612426,1781809872.567029,-3.097389,2.427711,-1.435797,-82.265,distance
