t,tf_t,x,y,theta,yaw_deg,reason
1781701470.128395,1781701470.091542,-0.799619,5.146628,-2.981636,-170.835,distance
1781701470.428443,1781701470.391202,-0.821601,5.143066,-2.980134,-170.749,distance
1781701470.678362,1781701470.641284,-0.841485,5.139818,-2.978879,-170.677,distance
1781701470.978435,1781701470.941440,-0.861612,5.136864,-2.979700,-170.724,distance
1781701471.278443,1781701471.242137,-0.882042,5.133389,-2.963692,-169.807,distance
1781701471.829146,1781701471.793150,-0.893904,5.127250,-2.956750,-169.409,time
1781701472.378441,1781701472.341133,-0.896856,5.126696,-2.954634,-169.288,time
1781701472.678417,1781701472.651091,-0.920181,5.122225,-2.949851,-169.014,distance
1781701472.928632,1781701472.891164,-0.940814,5.118189,-2.946452,-168.819,distance
1781701473.133616,1781701473.091522,-0.962133,5.115440,-2.938708,-168.376,distance
1781701473.328421,1781701473.290996,-0.983283,5.112795,-2.925621,-167.626,distance
1781701473.631929,1781701473.591928,-1.004435,5.107994,-2.909159,-166.683,distance
1781701473.928431,1781701473.891370,-1.023833,5.100221,-2.884434,-165.266,distance
1781701474.178399,1781701474.148872,-1.043487,5.094926,-2.869051,-164.385,distance
1781701474.478375,1781701474.441041,-1.064934,5.088770,-2.851666,-163.388,distance
1781701474.778433,1781701474.741107,-1.083149,5.080159,-2.840252,-162.734,distance
1781701475.078426,1781701475.041003,-1.103223,5.073773,-2.824374,-161.825,distance
1781701475.428433,1781701475.391452,-1.126019,5.070720,-2.808093,-160.892,distance
1781701475.678383,1781701475.641402,-1.144881,5.064052,-2.791920,-159.965,distance
1781701475.978544,1781701475.946061,-1.166341,5.056040,-2.773256,-158.896,distance
1781701476.378540,1781701476.341290,-1.186546,5.048704,-2.755504,-157.879,distance
1781701476.678505,1781701476.645066,-1.206261,5.040539,-2.739547,-156.964,distance
1781701476.928482,1781701476.891308,-1.225720,5.032115,-2.722688,-155.999,distance
1781701477.278569,1781701477.241017,-1.246063,5.021810,-2.697501,-154.555,distance
1781701477.578438,1781701477.541169,-1.264387,5.012928,-2.680332,-153.572,distance
1781701477.878438,1781701477.841360,-1.281234,4.999555,-2.665365,-152.714,distance
1781701478.178530,1781701478.141072,-1.301571,4.988853,-2.644883,-151.541,distance
1781701478.728416,1781701478.693511,-1.316975,4.980067,-2.627760,-150.560,time
1781701479.228382,1781701479.191338,-1.335510,4.969511,-2.621380,-150.194,distance
1781701479.528368,1781701479.491454,-1.353198,4.959353,-2.618518,-150.030,distance
1781701479.878376,1781701479.841303,-1.372789,4.947937,-2.603132,-149.148,distance
1781701480.178370,1781701480.141038,-1.389112,4.936114,-2.573378,-147.444,distance
